./sim.out

Started

L1 Error is - 0.375518
Explore seeds [129, 94, 211, 272, 212, 163, 40, 15, 385, 89, ]
Spread - 17
0->1 | 15->0 | 28->2 | 40->0 | 89->0 | 94->0 | 123->1 | 129->0 | 163->0 | 195->2 | 199->2 | 211->0 | 212->0 | 272->0 | 334->1 | 355->1 | 385->0 | 
Nodes -> 
NodeID IsInfluenced InfluencedBy Timestep
69 0 -1 -1 
230 1 144 3 
476 1 71 5 
8 0 -1 -1 
250 0 -1 -1 
277 1 417 4 
9 0 -1 -1 
380 0 -1 -1 
285 1 480 4 
39 1 478 5 
10 0 -1 -1 
115 1 435 2 
428 0 -1 -1 
31 1 101 4 
11 0 -1 -1 
161 1 320 6 
12 0 -1 -1 
299 0 -1 -1 
70 0 -1 -1 
489 0 -1 -1 
13 0 -1 -1 
258 0 -1 -1 
200 0 -1 -1 
233 0 -1 -1 
365 0 -1 -1 
462 0 -1 -1 
18 0 -1 -1 
88 0 -1 -1 
14 0 -1 -1 
318 1 285 5 
85 0 -1 -1 
102 0 -1 -1 
351 1 481 1 
15 0 -1 -1 
163 1 -1 0 
305 0 -1 -1 
314 0 -1 -1 
16 1 480 4 
229 0 -1 -1 
17 0 -1 -1 
484 0 -1 -1 
73 0 -1 -1 
266 1 487 4 
493 0 -1 -1 
403 1 480 4 
149 0 -1 -1 
152 0 -1 -1 
173 0 -1 -1 
227 0 -1 -1 
206 0 -1 -1 
473 1 -1 0 
127 1 75 8 
19 0 -1 -1 
138 0 -1 -1 
399 0 -1 -1 
433 0 -1 -1 
79 0 -1 -1 
414 1 463 4 
20 0 -1 -1 
172 0 -1 -1 
56 0 -1 -1 
33 0 -1 -1 
145 1 -1 0 
22 0 -1 -1 
136 0 -1 -1 
245 1 449 5 
282 1 487 4 
23 1 -1 0 
257 0 -1 -1 
456 0 -1 -1 
394 1 492 2 
210 0 -1 -1 
307 0 -1 -1 
247 0 -1 -1 
24 1 81 1 
329 1 24 2 
139 0 -1 -1 
342 0 -1 -1 
190 0 -1 -1 
25 0 -1 -1 
64 1 480 4 
262 0 -1 -1 
26 0 -1 -1 
417 1 144 3 
322 0 -1 -1 
422 0 -1 -1 
424 0 -1 -1 
426 0 -1 -1 
301 0 -1 -1 
209 0 -1 -1 
27 0 -1 -1 
235 1 -1 0 
336 0 -1 -1 
467 0 -1 -1 
30 1 376 7 
214 0 -1 -1 
196 1 376 7 
377 1 194 4 
29 1 235 1 
178 0 -1 -1 
179 0 -1 -1 
372 1 160 2 
376 1 410 6 
126 0 -1 -1 
320 1 353 5 
132 0 -1 -1 
497 0 -1 -1 
148 0 -1 -1 
411 0 -1 -1 
286 0 -1 -1 
202 0 -1 -1 
429 0 -1 -1 
211 0 -1 -1 
188 1 31 5 
350 0 -1 -1 
448 0 -1 -1 
42 0 -1 -1 
180 1 487 4 
34 1 51 3 
458 0 -1 -1 
78 1 476 6 
309 0 -1 -1 
91 0 -1 -1 
168 0 -1 -1 
264 1 34 4 
381 0 -1 -1 
486 0 -1 -1 
71 1 34 4 
35 0 -1 -1 
40 1 107 3 
401 0 -1 -1 
303 0 -1 -1 
36 0 -1 -1 
416 0 -1 -1 
122 0 -1 -1 
155 0 -1 -1 
383 0 -1 -1 
37 0 -1 -1 
316 0 -1 -1 
38 0 -1 -1 
121 0 -1 -1 
439 0 -1 -1 
108 0 -1 -1 
159 1 235 1 
443 0 -1 -1 
61 1 463 4 
222 1 39 6 
347 0 -1 -1 
474 1 283 2 
97 1 474 3 
485 0 -1 -1 
113 1 304 4 
195 1 481 1 
124 0 -1 -1 
63 0 -1 -1 
43 0 -1 -1 
75 1 419 7 
263 0 -1 -1 
44 0 -1 -1 
120 0 -1 -1 
289 0 -1 -1 
45 0 -1 -1 
164 0 -1 -1 
265 0 -1 -1 
332 0 -1 -1 
483 1 -1 0 
187 0 -1 -1 
46 0 -1 -1 
67 0 -1 -1 
494 0 -1 -1 
47 0 -1 -1 
321 0 -1 -1 
74 0 -1 -1 
171 0 -1 -1 
237 0 -1 -1 
449 1 417 4 
48 0 -1 -1 
114 1 460 6 
219 0 -1 -1 
49 0 -1 -1 
382 1 476 6 
50 0 -1 -1 
241 0 -1 -1 
117 1 127 9 
409 0 -1 -1 
51 1 351 2 
455 0 -1 -1 
169 1 476 6 
434 1 51 3 
213 0 -1 -1 
52 0 -1 -1 
225 1 481 1 
436 1 492 2 
438 1 487 4 
53 0 -1 -1 
170 1 156 4 
451 0 -1 -1 
324 0 -1 -1 
81 1 -1 0 
185 1 345 7 
55 0 -1 -1 
418 0 -1 -1 
133 0 -1 -1 
269 0 -1 -1 
252 0 -1 -1 
402 0 -1 -1 
57 1 117 10 
128 0 -1 -1 
463 1 436 3 
470 0 -1 -1 
58 0 -1 -1 
317 1 481 1 
278 0 -1 -1 
239 1 318 6 
413 0 -1 -1 
59 0 -1 -1 
343 0 -1 -1 
226 0 -1 -1 
189 0 -1 -1 
103 1 112 4 
60 0 -1 -1 
197 0 -1 -1 
107 1 492 2 
444 0 -1 -1 
62 0 -1 -1 
366 0 -1 -1 
143 0 -1 -1 
368 0 -1 -1 
431 0 -1 -1 
419 1 220 6 
224 0 -1 -1 
248 0 -1 -1 
404 0 -1 -1 
65 0 -1 -1 
193 0 -1 -1 
457 1 478 5 
437 0 -1 -1 
477 0 -1 -1 
66 0 -1 -1 
141 0 -1 -1 
68 0 -1 -1 
256 1 483 1 
104 0 -1 -1 
469 0 -1 -1 
352 0 -1 -1 
292 0 -1 -1 
231 0 -1 -1 
238 0 -1 -1 
310 0 -1 -1 
242 0 -1 -1 
72 1 480 4 
338 0 -1 -1 
405 0 -1 -1 
236 0 -1 -1 
186 0 -1 -1 
446 0 -1 -1 
420 1 75 8 
77 0 -1 -1 
174 0 -1 -1 
339 1 75 8 
246 0 -1 -1 
76 1 353 5 
379 0 -1 -1 
199 0 -1 -1 
129 0 -1 -1 
391 0 -1 -1 
84 0 -1 -1 
212 0 -1 -1 
442 0 -1 -1 
80 1 245 6 
283 1 483 1 
290 0 -1 -1 
82 0 -1 -1 
280 1 434 4 
275 0 -1 -1 
116 1 492 2 
83 0 -1 -1 
468 0 -1 -1 
223 0 -1 -1 
491 0 -1 -1 
109 0 -1 -1 
274 0 -1 -1 
311 1 376 7 
327 0 -1 -1 
86 0 -1 -1 
495 0 -1 -1 
87 0 -1 -1 
396 0 -1 -1 
162 0 -1 -1 
471 0 -1 -1 
89 0 -1 -1 
90 0 -1 -1 
167 0 -1 -1 
92 0 -1 -1 
93 0 -1 -1 
95 1 492 2 
99 0 -1 -1 
194 1 436 3 
304 1 95 3 
96 1 476 6 
427 0 -1 -1 
208 0 -1 -1 
353 1 97 4 
398 1 97 4 
98 0 -1 -1 
268 0 -1 -1 
362 0 -1 -1 
421 0 -1 -1 
323 0 -1 -1 
134 0 -1 -1 
221 0 -1 -1 
101 1 474 3 
472 0 -1 -1 
308 0 -1 -1 
205 0 -1 -1 
271 1 434 4 
105 0 -1 -1 
106 1 487 4 
216 1 283 2 
453 1 329 3 
441 0 -1 -1 
156 1 372 3 
384 0 -1 -1 
364 0 -1 -1 
281 0 -1 -1 
349 1 280 5 
111 1 481 1 
298 0 -1 -1 
284 1 112 4 
386 1 363 6 
295 0 -1 -1 
432 0 -1 -1 
291 0 -1 -1 
176 0 -1 -1 
440 0 -1 -1 
408 1 117 10 
118 0 -1 -1 
181 0 -1 -1 
184 1 419 7 
260 0 -1 -1 
273 0 -1 -1 
499 0 -1 -1 
255 0 -1 -1 
482 0 -1 -1 
259 0 -1 -1 
326 1 304 4 
335 0 -1 -1 
313 1 474 3 
123 0 -1 -1 
312 0 -1 -1 
392 0 -1 -1 
228 0 -1 -1 
488 0 -1 -1 
130 0 -1 -1 
131 0 -1 -1 
254 0 -1 -1 
135 0 -1 -1 
387 0 -1 -1 
358 0 -1 -1 
367 0 -1 -1 
279 0 -1 -1 
375 0 -1 -1 
140 0 -1 -1 
330 0 -1 -1 
425 0 -1 -1 
142 0 -1 -1 
253 1 285 5 
344 0 -1 -1 
454 0 -1 -1 
465 0 -1 -1 
346 0 -1 -1 
459 0 -1 -1 
146 0 -1 -1 
337 1 280 5 
147 1 473 1 
359 1 147 2 
406 0 -1 -1 
151 0 -1 -1 
198 0 -1 -1 
452 0 -1 -1 
498 0 -1 -1 
390 1 261 1 
153 0 -1 -1 
154 0 -1 -1 
334 0 -1 -1 
479 0 -1 -1 
157 1 449 5 
220 1 398 5 
160 1 481 1 
261 1 -1 0 
325 0 -1 -1 
166 0 -1 -1 
302 1 216 3 
183 1 170 5 
294 0 -1 -1 
217 1 351 2 
478 1 487 4 
475 0 -1 -1 
348 0 -1 -1 
175 0 -1 -1 
177 0 -1 -1 
249 0 -1 -1 
345 1 320 6 
182 0 -1 -1 
315 1 -1 0 
388 0 -1 -1 
487 1 216 3 
267 0 -1 -1 
356 1 188 6 
354 1 480 4 
460 1 414 5 
215 0 -1 -1 
191 0 -1 -1 
192 0 -1 -1 
340 0 -1 -1 
378 1 481 1 
341 0 -1 -1 
363 1 403 5 
297 1 245 6 
466 0 -1 -1 
201 0 -1 -1 
203 1 349 6 
464 0 -1 -1 
204 0 -1 -1 
207 0 -1 -1 
480 1 217 3 
218 0 -1 -1 
447 0 -1 -1 
360 0 -1 -1 
496 0 -1 -1 
331 0 -1 -1 
319 0 -1 -1 
232 0 -1 -1 
370 0 -1 -1 
415 0 -1 -1 
287 1 492 2 
374 0 -1 -1 
492 1 483 1 
243 0 -1 -1 
400 0 -1 -1 
461 0 -1 -1 
270 0 -1 -1 
272 0 -1 -1 
288 0 -1 -1 
407 0 -1 -1 
296 0 -1 -1 
410 1 414 5 
435 1 481 1 
328 0 -1 -1 
333 1 345 7 
393 0 -1 -1 
423 1 481 1 
430 0 -1 -1 
490 0 -1 -1 

Influenced Nodes -> 
NodeID IsInfluenced InfluencedBy Timestep
1 1 115 3 
2 1 476 6 
3 1 24 2 
5 1 78 7 
16 1 480 4 
23 1 -1 0 
24 1 81 1 
29 1 235 1 
30 1 376 7 
31 1 101 4 
34 1 51 3 
39 1 478 5 
40 1 107 3 
51 1 351 2 
54 1 492 2 
57 1 117 10 
61 1 463 4 
64 1 480 4 
71 1 34 4 
72 1 480 4 
75 1 419 7 
76 1 353 5 
78 1 476 6 
80 1 245 6 
81 1 -1 0 
95 1 492 2 
96 1 476 6 
97 1 474 3 
101 1 474 3 
103 1 112 4 
106 1 487 4 
107 1 492 2 
110 1 5 8 
111 1 481 1 
112 1 3 3 
113 1 304 4 
114 1 460 6 
115 1 435 2 
116 1 492 2 
117 1 127 9 
125 1 361 8 
127 1 75 8 
137 1 30 8 
144 1 423 2 
145 1 -1 0 
